race,image,code
affenpinscher,n02110627_10147.jpg,0
affenpinscher,n02110627_10185.jpg,0
affenpinscher,n02110627_10225.jpg,0
affenpinscher,n02110627_10437.jpg,0
affenpinscher,n02110627_10439.jpg,0
affenpinscher,n02110627_10447.jpg,0
affenpinscher,n02110627_10680.jpg,0
affenpinscher,n02110627_10787.jpg,0
affenpinscher,n02110627_10848.jpg,0
affenpinscher,n02110627_10859.jpg,0
affenpinscher,n02110627_10986.jpg,0
affenpinscher,n02110627_11211.jpg,0
affenpinscher,n02110627_11262.jpg,0
affenpinscher,n02110627_11263.jpg,0
affenpinscher,n02110627_11279.jpg,0
affenpinscher,n02110627_11283.jpg,0
affenpinscher,n02110627_11345.jpg,0
affenpinscher,n02110627_11365.jpg,0
affenpinscher,n02110627_11422.jpg,0
affenpinscher,n02110627_11435.jpg,0
affenpinscher,n02110627_11584.jpg,0
affenpinscher,n02110627_11614.jpg,0
affenpinscher,n02110627_11620.jpg,0
affenpinscher,n02110627_11657.jpg,0
affenpinscher,n02110627_11663.jpg,0
affenpinscher,n02110627_11759.jpg,0
affenpinscher,n02110627_11782.jpg,0
affenpinscher,n02110627_11783.jpg,0
affenpinscher,n02110627_11798.jpg,0
affenpinscher,n02110627_11811.jpg,0
affenpinscher,n02110627_11819.jpg,0
affenpinscher,n02110627_11835.jpg,0
affenpinscher,n02110627_11853.jpg,0
affenpinscher,n02110627_11858.jpg,0
affenpinscher,n02110627_11875.jpg,0
affenpinscher,n02110627_11942.jpg,0
affenpinscher,n02110627_12003.jpg,0
affenpinscher,n02110627_12025.jpg,0
affenpinscher,n02110627_12070.jpg,0
affenpinscher,n02110627_12077.jpg,0
affenpinscher,n02110627_12227.jpg,0
affenpinscher,n02110627_12272.jpg,0
affenpinscher,n02110627_12391.jpg,0
affenpinscher,n02110627_12431.jpg,0
affenpinscher,n02110627_12512.jpg,0
affenpinscher,n02110627_12556.jpg,0
affenpinscher,n02110627_12579.jpg,0
affenpinscher,n02110627_12676.jpg,0
affenpinscher,n02110627_12808.jpg,0
affenpinscher,n02110627_12819.jpg,0
affenpinscher,n02110627_12893.jpg,0
affenpinscher,n02110627_12913.jpg,0
affenpinscher,n02110627_12938.jpg,0
affenpinscher,n02110627_12973.jpg,0
affenpinscher,n02110627_12997.jpg,0
affenpinscher,n02110627_13014.jpg,0
affenpinscher,n02110627_13020.jpg,0
affenpinscher,n02110627_13032.jpg,0
affenpinscher,n02110627_13060.jpg,0
affenpinscher,n02110627_13210.jpg,0
affenpinscher,n02110627_13211.jpg,0
affenpinscher,n02110627_13221.jpg,0
affenpinscher,n02110627_13417.jpg,0
affenpinscher,n02110627_13420.jpg,0
affenpinscher,n02110627_13453.jpg,0
affenpinscher,n02110627_13499.jpg,0
affenpinscher,n02110627_13553.jpg,0
affenpinscher,n02110627_13567.jpg,0
affenpinscher,n02110627_13590.jpg,0
affenpinscher,n02110627_13654.jpg,0
affenpinscher,n02110627_13662.jpg,0
affenpinscher,n02110627_13665.jpg,0
affenpinscher,n02110627_13710.jpg,0
affenpinscher,n02110627_13782.jpg,0
affenpinscher,n02110627_1387.jpg,0
affenpinscher,n02110627_13939.jpg,0
affenpinscher,n02110627_1446.jpg,0
affenpinscher,n02110627_1559.jpg,0
affenpinscher,n02110627_1581.jpg,0
affenpinscher,n02110627_1844.jpg,0
affenpinscher,n02110627_1966.jpg,0
affenpinscher,n02110627_2157.jpg,0
affenpinscher,n02110627_2327.jpg,0
affenpinscher,n02110627_233.jpg,0
affenpinscher,n02110627_2383.jpg,0
affenpinscher,n02110627_2416.jpg,0
affenpinscher,n02110627_2748.jpg,0
affenpinscher,n02110627_2894.jpg,0
affenpinscher,n02110627_2911.jpg,0
affenpinscher,n02110627_2997.jpg,0
affenpinscher,n02110627_3001.jpg,0
affenpinscher,n02110627_3026.jpg,0
affenpinscher,n02110627_3032.jpg,0
affenpinscher,n02110627_3144.jpg,0
affenpinscher,n02110627_3246.jpg,0
affenpinscher,n02110627_3286.jpg,0
affenpinscher,n02110627_3409.jpg,0
affenpinscher,n02110627_3561.jpg,0
affenpinscher,n02110627_3730.jpg,0
affenpinscher,n02110627_3841.jpg,0
affenpinscher,n02110627_3972.jpg,0
affenpinscher,n02110627_4086.jpg,0
affenpinscher,n02110627_4130.jpg,0
affenpinscher,n02110627_4275.jpg,0
affenpinscher,n02110627_4433.jpg,0
affenpinscher,n02110627_4457.jpg,0
affenpinscher,n02110627_4542.jpg,0
affenpinscher,n02110627_4597.jpg,0
affenpinscher,n02110627_4607.jpg,0
affenpinscher,n02110627_475.jpg,0
affenpinscher,n02110627_4839.jpg,0
affenpinscher,n02110627_5186.jpg,0
affenpinscher,n02110627_5361.jpg,0
affenpinscher,n02110627_5522.jpg,0
affenpinscher,n02110627_5743.jpg,0
affenpinscher,n02110627_6069.jpg,0
affenpinscher,n02110627_6310.jpg,0
affenpinscher,n02110627_641.jpg,0
affenpinscher,n02110627_6414.jpg,0
affenpinscher,n02110627_6670.jpg,0
affenpinscher,n02110627_6796.jpg,0
affenpinscher,n02110627_6811.jpg,0
affenpinscher,n02110627_6842.jpg,0
affenpinscher,n02110627_6869.jpg,0
affenpinscher,n02110627_6965.jpg,0
affenpinscher,n02110627_6991.jpg,0
affenpinscher,n02110627_7013.jpg,0
affenpinscher,n02110627_7065.jpg,0
affenpinscher,n02110627_735.jpg,0
affenpinscher,n02110627_7404.jpg,0
affenpinscher,n02110627_7612.jpg,0
affenpinscher,n02110627_7680.jpg,0
affenpinscher,n02110627_7694.jpg,0
affenpinscher,n02110627_7770.jpg,0
affenpinscher,n02110627_8033.jpg,0
affenpinscher,n02110627_8048.jpg,0
affenpinscher,n02110627_8050.jpg,0
affenpinscher,n02110627_8071.jpg,0
affenpinscher,n02110627_8099.jpg,0
affenpinscher,n02110627_8154.jpg,0
affenpinscher,n02110627_8250.jpg,0
affenpinscher,n02110627_8519.jpg,0
affenpinscher,n02110627_8621.jpg,0
affenpinscher,n02110627_8695.jpg,0
affenpinscher,n02110627_8714.jpg,0
affenpinscher,n02110627_8856.jpg,0
affenpinscher,n02110627_8949.jpg,0
affenpinscher,n02110627_946.jpg,0
affenpinscher,n02110627_9634.jpg,0
affenpinscher,n02110627_9822.jpg,0
airedale,n02096051_1017.jpg,1
airedale,n02096051_1110.jpg,1
airedale,n02096051_1111.jpg,1
airedale,n02096051_1121.jpg,1
airedale,n02096051_1134.jpg,1
airedale,n02096051_119.jpg,1
airedale,n02096051_1206.jpg,1
airedale,n02096051_1235.jpg,1
airedale,n02096051_1244.jpg,1
airedale,n02096051_1277.jpg,1
airedale,n02096051_129.jpg,1
airedale,n02096051_138.jpg,1
airedale,n02096051_1430.jpg,1
airedale,n02096051_1469.jpg,1
airedale,n02096051_1483.jpg,1
airedale,n02096051_1558.jpg,1
airedale,n02096051_161.jpg,1
airedale,n02096051_1625.jpg,1
airedale,n02096051_1669.jpg,1
airedale,n02096051_171.jpg,1
airedale,n02096051_1723.jpg,1
airedale,n02096051_1736.jpg,1
airedale,n02096051_1740.jpg,1
airedale,n02096051_1761.jpg,1
